Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
91   	41.00%	15.00%	22.00%	22.00%	 0.00%	30.67%	16.00%	26.67%	26.67%	 0.00%
92   	16.00%	15.00%	35.00%	34.00%	 0.00%	20.00%	14.67%	22.67%	42.67%	 0.00%
93   	30.00%	19.00%	34.00%	17.00%	 0.00%	38.67%	18.67%	21.33%	21.33%	 0.00%
94   	23.00%	25.00%	13.00%	39.00%	 0.00%	28.00%	32.00%	16.00%	24.00%	 0.00%
95   	16.00%	41.00%	15.00%	28.00%	 0.00%	20.00%	28.00%	16.00%	36.00%	 0.00%
96   	11.00%	23.00%	29.00%	37.00%	 0.00%	14.67%	28.00%	14.67%	42.67%	 0.00%
97   	24.00%	37.00%	16.00%	23.00%	 0.00%	29.33%	21.33%	20.00%	29.33%	 0.00%
98   	19.00%	40.00%	20.00%	21.00%	 0.00%	20.00%	26.67%	26.67%	26.67%	 0.00%
99   	41.00%	21.00%	24.00%	14.00%	 0.00%	32.00%	24.00%	25.33%	18.67%	 0.00%
100  	25.00%	18.00%	12.00%	45.00%	 0.00%	32.00%	24.00%	14.67%	29.33%	 0.00%
