Pos   	     A	     C	     G	     T	     N	Clean A	Clean C	Clean G	Clean T	Clean N
75   	20.36%	33.69%	19.27%	26.68%	 0.00%	23.47%	23.24%	22.48%	30.82%	 0.00%
76   	34.62%	18.80%	18.88%	27.70%	 0.00%	24.98%	20.92%	20.65%	33.45%	 0.00%
77   	34.33%	25.36%	18.69%	21.62%	 0.00%	24.21%	29.51%	22.19%	24.09%	 0.00%
78   	30.64%	19.00%	26.78%	23.58%	 0.00%	36.21%	22.73%	12.67%	28.39%	 0.00%
79   	27.49%	17.74%	26.44%	28.33%	 0.00%	32.90%	19.44%	14.81%	32.85%	 0.00%
80   	43.43%	16.51%	18.81%	21.24%	 0.00%	34.13%	19.79%	21.27%	24.81%	 0.00%
81   	26.49%	12.56%	32.45%	28.50%	 0.00%	31.61%	13.21%	21.86%	33.32%	 0.00%
82   	27.29%	19.89%	22.85%	29.96%	 0.00%	29.97%	23.86%	27.21%	18.97%	 0.00%
83   	18.19%	14.99%	25.84%	40.98%	 0.00%	21.19%	16.70%	30.54%	31.57%	 0.00%
84   	21.21%	16.66%	35.90%	26.23%	 0.00%	23.63%	18.90%	26.34%	31.13%	 0.00%
85   	24.46%	29.03%	22.21%	24.29%	 0.00%	28.02%	18.30%	26.56%	27.13%	 0.00%
86   	26.49%	19.86%	18.57%	35.08%	 0.00%	31.02%	21.94%	21.03%	26.01%	 0.00%
87   	18.09%	22.09%	30.56%	29.25%	 0.00%	20.90%	25.05%	20.38%	33.67%	 0.00%
88   	28.75%	27.03%	21.01%	23.21%	 0.00%	34.84%	15.37%	23.30%	26.49%	 0.00%
89   	22.94%	23.47%	38.10%	15.50%	 0.00%	27.61%	26.51%	28.11%	17.77%	 0.00%
90   	27.71%	16.24%	20.14%	35.91%	 0.00%	31.93%	19.38%	23.27%	25.42%	 0.00%
91   	40.24%	15.74%	15.04%	28.98%	 0.00%	32.16%	17.30%	15.65%	34.89%	 0.00%
92   	26.11%	28.56%	18.11%	27.22%	 0.00%	28.94%	17.68%	20.94%	32.45%	 0.00%
93   	33.45%	21.21%	16.83%	28.52%	 0.00%	23.83%	23.95%	18.52%	33.70%	 0.00%
94   	24.95%	17.66%	20.03%	37.36%	 0.00%	28.34%	20.91%	21.81%	28.95%	 0.00%
95   	40.28%	17.65%	16.74%	25.32%	 0.00%	31.88%	19.65%	19.60%	28.87%	 0.00%
96   	39.65%	22.53%	16.89%	20.94%	 0.00%	29.26%	27.12%	19.14%	24.48%	 0.00%
97   	27.64%	29.49%	12.43%	30.44%	 0.00%	32.53%	17.89%	13.56%	36.01%	 0.00%
98   	22.13%	18.80%	19.80%	39.27%	 0.00%	25.37%	21.89%	22.37%	30.37%	 0.00%
99   	24.01%	11.80%	35.22%	28.98%	 0.00%	29.10%	13.09%	23.37%	34.45%	 0.00%
100  	24.30%	25.96%	23.17%	26.57%	 0.00%	27.57%	14.49%	26.35%	31.59%	 0.00%
