Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
90   	31.56%	26.19%	19.35%	22.90%	 0.00%	20.47%	30.63%	21.82%	27.08%	 0.00%
91   	37.17%	21.80%	20.65%	20.39%	 0.00%	28.38%	23.79%	24.54%	23.29%	 0.00%
92   	25.71%	13.88%	32.18%	28.23%	 0.00%	30.66%	14.10%	21.24%	34.00%	 0.00%
93   	27.37%	15.10%	34.95%	22.59%	 0.00%	33.18%	16.77%	25.41%	24.65%	 0.00%
94   	26.67%	25.29%	14.95%	33.09%	 0.00%	32.47%	27.50%	17.14%	22.89%	 0.00%
95   	24.28%	31.31%	11.63%	32.79%	 0.00%	28.40%	20.82%	13.09%	37.69%	 0.00%
96   	20.74%	20.39%	28.17%	30.70%	 0.00%	24.89%	21.05%	16.89%	37.17%	 0.00%
97   	27.17%	31.88%	19.42%	21.53%	 0.00%	31.77%	20.87%	22.21%	25.16%	 0.00%
98   	24.09%	34.33%	19.12%	22.46%	 0.00%	27.75%	24.02%	21.62%	26.61%	 0.00%
99   	33.89%	19.59%	21.59%	24.93%	 0.00%	24.96%	21.10%	25.36%	28.58%	 0.00%
100  	31.32%	16.79%	16.75%	35.14%	 0.00%	35.64%	19.35%	18.76%	26.24%	 0.00%
